striped_cluster,0,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,4,5,6,7,8,9
0,337,1530,0,0,1648,5,436,10,219,1325,2,0,42,535,0,138,0,0,76,102,21,44,25,2,41,26,702,211,17126,0,136,9499
1,18353,1482,0,3,3476,4,747,0,1,2,1,0,138,123,0,1414,0,0,143,31,15,45,16,1,46,9,888,2456,463,1,179,0
10,547,218,443,5,212,61,309,126,0,184,6,0,181,91,1,139,0,0,79,41,11,33,24,15,32,5,243,964,75,118,12900,5
11,7,4968,0,0,744,0,118,0,20,4,214,0,9,1450,0,1,0,0,19,64,5,13,10,0,8,2,6,3,387,2,17,5851
12,0,27,0,1,15,516,29,5,8514,242,93,0,2934,275,0,1,0,0,1,47,6,16,6,2,5,0,4,6,372,1,6,164
13,0,0,12811,0,0,27,63,28,0,191,0,0,0,0,0,0,0,1,0,9,26,2,0,7,0,0,0,0,0,122,523,0
14,0,0,89,19,0,0,2,8,0,0,5,0,0,0,1,0,0,0,0,1,3,4,0,26,0,0,0,0,0,12408,6,0
15,0,0,1,2,0,2,8,13,0,1,5,328,0,0,1396,0,2796,8,0,4,14,1,1,7395,0,0,2,4,0,21,6,0
16,0,0,225,0,2,38,45,158,29,4773,840,0,3,102,0,0,0,0,1,10,13,7,1,156,0,0,8,3,31,1620,66,88
17,97,108,26,106,31,53,6355,185,8,45,0,0,46,45,0,7,0,1,3,30,35,8,2,52,1,0,44,132,16,17,45,22
18,0,0,0,2,0,0,0,0,0,0,0,5752,0,1,4,0,9,0,0,0,4,2,8,9,0,0,0,0,0,0,0,0
19,0,1,0,2,7,26,1,4,15,10,2636,0,251,903,0,0,0,0,0,1,4,1,0,19,0,0,2,0,4,0,0,43
2,9388,595,0,4,3341,0,846,0,0,0,0,0,32,277,0,1562,0,0,258,53,11,58,32,0,91,124,904,10435,95,0,402,0
20,0,0,0,0,0,0,22,1,0,0,0,3,0,1,3578,0,0,11,0,0,0,3,40,39,0,0,0,1,0,0,0,0
21,202,44,0,0,113,1,36,0,0,1,0,0,5,1167,1,34,0,0,12,2,0,0,2,0,8,0,72,112,23,1,11,0
22,8,13,0,1,7,7,23,6,8,1,0,0,15,0,1,2,0,0,1,0,1048,1,0,10,1,0,22,11,11,3,6,6
23,253,59,0,0,59,0,18,0,1,0,0,0,3,6,0,18,0,0,571,0,0,4,1,0,2,1,29,71,40,0,3,0
24,36,34,19,19,7,11,34,15,5,7,5,0,21,5,1,6,0,0,0,2,0,691,0,16,3,0,23,28,12,4,14,4
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,936,0,0,0,0,0,4,0,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,0,0,0,0
27,152,16,0,1,36,0,17,0,0,0,0,0,3,14,1,15,0,0,2,0,0,4,1,4,299,0,49,125,8,0,9,0
28,111,55,0,0,30,0,9,1,0,0,0,0,3,4,0,9,0,0,3,0,1,3,0,3,238,0,9,61,35,0,9,0
29,19,4,0,0,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,219,0,1,1,0,1,0,10,11,0,0,0,0
3,1625,23011,0,0,487,2,227,0,2,0,0,0,155,176,0,122,0,0,170,120,13,27,32,0,81,7,32,51,563,0,43,24
30,43,9,0,0,15,0,6,0,0,2,0,0,0,3,0,2,0,0,1,1,0,2,161,0,0,0,5,20,6,0,2,3
4,0,0,13,1078,0,376,88,292,1,1,9,2,3,1,25,0,0,537,1,145,23,7,0,17523,2,0,4,1,0,1329,8,0
5,6,4,38,9920,5,83,434,5372,1,4,61,0,186,24,2,3,0,0,17,30,6,17,8,141,2,0,14,3779,6,34,152,2
6,62,85,0,278,18,114,156,5,47,1,12,1,17170,223,0,1,0,0,12,50,5,12,45,4,29,0,2,37,10,1,10,1
7,5,2,9,9,2,10683,68,122,77,38,12,0,7433,45,3,0,0,7,4,278,10,15,29,89,12,1,13,31,0,6,389,0
8,5,1,1,4,934,15,73,4259,2,26,1886,0,47,97,3,1,0,1,8,28,4,180,8,88,5,0,10469,276,104,96,145,15
9,1039,184,0,0,1523,3,302,25,1,6,6,0,11,216,0,245,0,0,102,60,9,91,13,1,62,10,11326,2788,189,1,115,0
