,Ptms,Actg1,Col6a3,Lrig1,Celf2,Ddr2,Flna,Cald1,Cnn2,Emilin3,Tes,Rgmb,Cdo1,Nrp2,Acta2,Tpm2,Foxp2,Sparcl1,Actg2,Tagln,Crispld2,Psd,Tnc,Myh11,Gfra1,Mylk,Hhip,Ckb,Cnn1,Dmpk,Aldh1a1,Pde5a,Anxa6,Col1a1,Igfbp4,Kctd12,Mfap4,Dlk1,Tmtc2,Ptn,Basp1,Ptprs,Col3a1,Meis2,Auts2,Lrig3,Meis1,Hist1h2ap,Hist1h1b,Hist1h1a,Hist1h2ae,Sh3bgrl,H1fx,Lsp1,Pcdh18,Emilin1,Col1a2,Col6a2,Foxf1,Foxf2,Pgm5,Nkx6-1,Osr1,Gpc3,Gucy1a1,Zfp703,Ltbp4,Cacng7,Bnc2,Col6a1,Fbln1,Iqgap2,Itm2a,Ptk7,Islr,Cd63,Vcan,Robo1,Slitrk6,Col5a1,Dab2,Cdh11,Hic1,Lrp1,H2afy2,Efemp1,Sema3a,Arap1,Tcf21,Dcn,Igf1,Ptch1,Igfbp7,Col6a5,Thbs4,Lox,Pkdcc,Nr2f2,Penk,Snai2
Tnc,3938.0002,4069.44,4759.243,4543.5034,4762.9673,4625.5513,4633.532,4690.378,4723.285,4699.129,4725.5815,5086.1704,5169.43,5466.44,4977.799,4881.2363,4693.183,4690.2456,5112.709,5341.842,5723.0054,5864.7324,0.0,5307.2764,5689.8354,5225.403,5382.8135,5470.841,5398.532,5783.836,5159.972,4044.201,3974.2915,3768.2322,3764.6792,4047.9397,3654.2217,4256.108,4110.4033,4334.5425,3755.6958,4054.3718,3585.969,3785.8071,4144.333,4033.6707,4085.441,3476.606,3432.1929,3457.201,3240.0217,3835.13,3714.0903,4299.537,3502.705,4411.4385,3601.3928,3959.5398,4014.5168,3855.2024,3997.3027,4020.8284,3553.246,3612.4062,3505.2075,3626.9832,3752.7996,3208.4495,3481.7825,3956.729,3379.543,3553.496,3316.4731,3337.213,3484.9263,3264.8337,3345.0261,3108.3623,3148.535,3656.0242,3155.302,3534.503,3060.4927,3227.4482,3049.069,3063.6401,3337.5688,2825.1436,2775.0125,2551.2324,2636.0107,2646.6538,2619.982,2337.3494,2570.7788,2446.4668,2762.0288,2259.585,1491.1302,2160.8938
Myh11,3966.465,4001.9045,4372.086,4129.5645,4458.404,4404.498,4485.529,4588.055,4685.933,4557.2876,4798.071,4674.7456,4644.8335,5072.927,4931.0146,4854.8066,4928.968,4768.409,5222.0347,5312.1504,5117.4116,5414.643,5307.2764,0.0,5250.3496,5292.4585,5005.8184,5581.7827,5578.3657,5658.665,5642.6196,3910.0425,4019.8457,3695.8652,3667.3804,3859.3916,3454.5825,3993.108,3975.283,3968.9944,3790.1626,3892.7534,3596.0256,3721.1228,3875.0571,3757.861,4180.078,3596.4402,3540.332,3370.9834,3163.3384,3616.9143,3618.0098,3875.5752,3560.413,3917.1614,3529.132,3666.8098,3788.9438,3982.7231,3875.8413,3876.2808,3564.216,3523.7278,3504.2761,3728.862,3779.8535,3374.2188,3640.274,3507.386,3396.9465,3560.718,3310.2468,3293.1594,3696.5215,3339.2742,3326.8047,3365.821,3032.8733,3386.566,3591.7217,3248.0159,3113.2852,3162.4033,3074.9312,3040.656,3219.3237,2905.2449,2886.6826,2732.7573,2615.473,2833.0793,2613.603,2630.8381,2652.0654,2410.6875,2653.3342,2625.0603,1549.419,2037.5839
Gfra1,4047.378,3991.8738,4631.7373,5057.162,4516.8315,4242.247,4390.017,4552.275,4483.142,4508.7603,4675.4336,4843.062,4875.2803,5536.8354,4788.852,4816.016,4797.8047,4831.5986,5005.735,5094.508,4890.402,5515.66,5689.8354,5250.3496,0.0,5353.6763,5335.1953,5914.071,5525.982,5880.689,5220.184,4109.9424,4064.5269,3557.8867,3809.0352,4047.5886,3631.1082,3772.6248,3836.175,4082.0264,3587.6726,3901.516,3443.0542,3895.238,4215.117,3493.2231,4231.2017,3878.4229,3691.1829,3824.611,3629.5613,3727.2898,3772.225,4104.034,3660.0845,4210.5947,3393.6064,3611.01,3758.1445,3601.6733,3775.415,3728.6265,3289.5444,3456.0002,3400.677,3975.6145,3402.472,3511.5222,3123.9526,3637.3813,3626.543,3633.8467,3221.8647,3260.5261,3709.358,3363.8667,3343.145,3007.732,3479.21,3325.373,3322.468,3286.2214,3211.4844,3053.1306,3511.7795,3111.2031,3210.4006,2567.333,2743.5088,2304.7595,1855.9987,2473.5786,2162.4998,2308.5876,2242.2856,2049.4436,2409.5261,2595.389,1192.434,1846.2521
Mylk,3993.1626,3968.63,4337.716,4188.0854,4374.975,4249.226,4486.878,4584.222,4652.6143,4667.629,4877.5083,4678.032,4605.956,5200.1553,4893.081,4943.027,4868.82,4996.193,5205.9473,5273.489,5109.539,5424.9214,5225.403,5292.4585,5353.6763,0.0,5241.5493,5691.419,5587.3965,5735.519,5844.8394,3952.0864,4059.7234,3722.7832,3746.6445,3757.0999,3602.1611,3915.4333,3844.5217,3958.7605,3874.1377,3919.3584,3628.531,3902.2441,3852.506,3873.5867,3983.838,3614.0603,3580.6443,3538.9006,3201.8774,3767.3416,3696.6895,3980.265,3518.336,4035.2078,3597.3958,3756.8533,3807.2932,4290.7524,4029.6602,4021.7998,3637.6155,3678.3943,3532.3386,3737.3044,3852.584,3460.1257,3898.9238,3560.255,3396.6016,3563.1638,3437.3726,3426.3857,3792.5874,3460.0068,3519.132,3605.296,2983.1704,3471.952,3581.277,3351.8926,3230.9294,3250.1052,3232.0757,3048.294,3392.1577,3061.2778,2966.892,2882.2747,2659.0808,3006.6196,2829.4797,2555.4368,2777.3071,2598.5957,2748.9597,2649.4326,1751.7095,2312.653
Hhip,4066.0098,4175.5273,4225.4043,4543.743,4186.9233,4656.5444,4601.5376,4528.595,4409.1055,5325.734,4951.608,4726.2188,4259.954,4538.1646,4705.645,4712.131,5277.4585,5554.413,4951.4287,4990.762,4689.437,4999.6484,5382.8135,5005.8184,5335.1953,5241.5493,0.0,5439.0,5647.9014,6231.489,6273.9717,3850.7195,4106.3037,3752.392,3492.8005,3823.3674,3262.7869,3718.962,3723.684,3825.6572,4094.5957,3966.5886,3782.9192,4043.0864,4337.979,3661.1768,4084.641,3549.7944,4096.074,3646.7773,3636.1868,3752.2793,3830.523,4177.254,3855.3206,3780.5322,3710.5488,3624.5737,4410.3223,4603.61,4357.7764,3646.5776,3642.2876,3691.219,3810.0427,3404.0059,4349.4277,3301.2573,3613.7097,3942.1064,3365.699,3837.8384,3782.0232,3853.4849,3867.5005,3652.0044,3659.7622,4237.91,3234.7944,3970.031,3589.4673,3849.98,3115.9453,3709.6484,3636.4705,2910.8098,3952.6475,3581.9844,3363.0923,3479.527,2870.9163,3943.244,3864.5603,3261.148,3498.5068,3011.785,3258.2107,3120.6877,2788.8296,3295.044
Ckb,4127.405,4035.0122,4556.2783,4787.516,4773.674,4464.413,4620.974,4801.825,4889.598,4769.7437,5174.6016,4951.936,4937.2397,5161.127,5087.123,5098.758,5159.226,5421.5996,5505.1294,5526.25,5464.087,6078.2227,5470.841,5581.7827,5914.071,5691.419,5439.0,0.0,6074.9385,6083.788,6347.0547,4085.4346,4056.267,3644.8706,3780.9768,3730.228,3611.0703,3755.584,4211.7466,4029.6216,3939.1655,3991.4216,3561.8853,3685.3994,4112.38,3889.1846,4039.332,3713.8364,3965.3523,3530.964,3255.055,3835.0793,3567.6125,4050.5232,3538.982,4022.1858,3495.1116,3634.2544,3969.3562,4585.2354,3891.149,4068.0405,3562.0837,3666.1987,3691.0205,4001.8352,3650.4485,3819.9043,3520.8882,3342.1443,3416.2817,3742.8745,3280.184,3376.8457,3832.3872,3426.4937,3233.443,3621.289,3276.4863,3337.4033,3585.6296,3382.597,3093.748,3049.7595,3217.7744,2705.8289,3203.5234,2615.1077,2607.599,2658.2197,2282.689,2730.6252,2669.299,2281.4067,2450.8274,2295.6482,2605.9165,2413.6523,1183.612,1880.026
Cnn1,4011.5059,4030.3384,4379.733,4377.714,4445.096,4607.2173,4621.567,4830.7627,4766.7974,4894.669,5100.721,5007.808,4739.6294,4972.6865,5115.9146,5180.8,5042.5967,5061.8257,5467.915,5573.519,5065.761,5658.8022,5398.532,5578.3657,5525.982,5587.3965,5647.9014,6074.9385,0.0,6466.29,6446.9404,3929.8105,4211.8774,3691.5713,3696.5051,3699.0715,3442.0544,3881.0537,3981.149,4143.709,3930.4414,4043.425,3587.8608,3938.9019,3773.9773,3911.7441,4174.161,3624.9111,3625.6797,3367.6956,3096.4934,3554.6833,3675.7747,3957.947,3349.9363,4092.2542,3523.7112,3656.0378,3954.1045,4372.7217,3974.394,4122.947,3895.3716,3566.5522,3639.3308,3799.498,3845.5906,3158.0767,3845.2993,3519.255,3251.735,3428.2,3405.458,3175.4202,3785.337,3371.708,3445.411,3474.2002,2783.359,3267.2585,3470.014,3386.0322,3080.1953,3195.074,3188.9727,2810.8755,3316.279,2905.5315,2674.6873,2689.9253,2398.752,2942.6953,2547.183,2844.6768,2560.4807,2381.6973,2541.6992,2506.995,1351.325,2095.7563
Dmpk,4031.1245,4088.1558,4636.0176,4819.794,5084.6084,5034.488,4855.302,4916.5767,5098.4883,5399.19,4830.8735,5419.243,4473.022,5133.541,5136.1533,5108.037,5186.1426,5240.2964,5398.6855,5554.912,5721.0586,5769.2983,5783.836,5658.665,5880.689,5735.519,6231.489,6083.788,6466.29,0.0,7558.401,4020.5276,4347.4453,3685.3125,3634.2,3293.572,3474.8018,3828.9,3792.3418,3735.734,3405.5051,3922.442,3603.7283,4084.7646,3925.9102,4227.6543,4296.3613,3413.8613,3295.1401,3289.6504,3133.6729,4081.2124,3875.9185,4020.1824,3558.6675,4480.829,3540.7014,3705.3538,3994.12,4614.954,4339.8965,4278.4736,3796.5244,3730.4897,3579.1394,3816.123,3984.5034,3511.5425,3642.6262,3586.7502,3407.0369,3618.1655,3332.7544,3377.304,4098.6978,3560.567,3333.3076,3572.1484,2814.3545,3629.2834,3726.8096,3349.2036,2924.2744,3180.632,3476.758,2689.1306,3416.5283,2826.5374,2885.7708,2778.5798,2078.2056,3237.8955,2626.1511,2920.9744,2656.5269,2644.0137,3080.5776,2663.243,1509.9421,2245.1655
Aldh1a1,4182.8916,4215.934,4354.5596,4904.889,4522.691,4476.903,4828.5264,4865.811,5020.5664,5367.1226,4521.56,5148.012,4426.9556,6170.1743,5156.3784,5345.092,5103.142,5969.055,5654.7764,5592.949,5223.485,5604.9336,5159.972,5642.6196,5220.184,5844.8394,6273.9717,6347.0547,6446.9404,7558.401,0.0,4311.5024,4438.234,3646.7524,3764.7688,3299.4077,3527.0378,3864.9988,3824.1252,3583.73,3572.2056,4177.2363,3670.435,4406.1216,3479.3938,3975.7622,4128.276,3803.647,3913.6235,3566.7246,3375.587,4162.5347,3816.0923,4046.2632,3622.9902,3699.0269,3554.2974,3632.6956,4389.8267,5286.0273,4327.9688,3477.749,3334.4656,3742.9324,4011.8887,3679.8765,4502.839,3081.3008,3529.2283,3300.9045,3439.9167,3429.06,3287.5928,3424.9526,3791.3135,3522.0154,3565.7788,3821.4143,2832.1973,3152.5615,3418.2222,3593.2388,3083.8413,3377.55,3169.1494,2916.3113,4205.295,2735.0837,2844.3977,2947.6116,2155.0247,3678.7913,2871.583,3092.8047,3279.2568,2449.8064,2872.527,2485.2656,1963.6315,2984.7937
Pde5a,3933.971,4029.7832,4083.326,3843.677,4279.076,4097.751,4011.9575,3967.105,4013.3271,4176.143,4003.1636,3996.0894,3936.3076,4201.6533,3938.1423,4010.1814,4037.8945,4102.5674,3966.9502,3996.0728,4009.0918,4193.621,4044.201,3910.0425,4109.9424,3952.0864,3850.7195,4085.4346,3929.8105,4020.5276,4311.5024,0.0,4189.8203,3890.4702,3962.7432,3978.4255,4237.7197,3842.3154,4260.641,3955.8782,4124.798,3997.04,3908.795,4186.8525,4092.85,4196.8867,4077.8188,3925.5051,4060.985,3871.2405,3820.8752,4221.464,4002.865,4052.9082,4086.4768,4068.0442,3904.5767,3947.0054,4015.0608,3983.918,4130.6553,3989.9417,3915.5693,4006.8218,4015.873,4001.9148,4031.1304,4194.561,4054.1143,4159.8486,4094.5627,4130.594,4028.8901,4038.7063,4130.3506,3958.8496,3923.6174,3996.6948,3998.6204,4079.1309,4077.266,4166.6274,3956.676,3900.646,4150.66,4057.3086,4209.573,4000.1074,4158.2456,4045.4116,4117.5664,4044.1404,4141.516,4207.9995,4093.674,3987.253,4222.6074,4393.938,4168.7007,4006.2202
Anxa6,3957.6917,3923.2507,4055.0557,3972.3926,3857.0486,3977.658,4010.1394,4041.9626,4136.322,4054.1848,4045.502,3972.6072,4161.001,4114.423,3949.5737,4013.2854,4190.0107,4079.578,4009.4546,4030.0298,3999.779,4064.8186,3974.2915,4019.8457,4064.5269,4059.7234,4106.3037,4056.267,4211.8774,4347.4453,4438.234,4189.8203,0.0,3862.6187,3899.099,3898.4421,3907.6155,3773.8083,3996.4746,3944.4229,4071.1426,3846.7202,3848.322,4066.9675,3899.8108,4039.4243,3755.8333,3881.893,3811.4902,3970.3164,3829.315,4008.8516,3891.6816,4019.0112,4057.6611,3847.211,3873.4495,3863.8916,4015.8447,4223.05,4103.035,4121.5664,3961.6655,3966.0747,4029.0508,3955.1616,3904.8105,4030.2263,3947.9146,4023.8772,3965.8755,4013.8008,3873.7334,3875.403,4030.2424,3992.7424,3990.1157,3935.6255,3917.713,3967.9731,4042.0774,3965.2627,3983.5317,3863.0942,4044.7988,3976.561,3949.0437,3906.5996,4094.0293,3878.7979,3835.3025,3928.4731,3869.696,3969.5547,3886.6602,4057.309,3914.5908,3951.9263,3848.1565,3888.8533
