,Ptms,Actg1,Col6a3,Lrig1,Celf2,Ddr2,Flna,Cald1,Cnn2,Emilin3,Tes,Rgmb,Cdo1,Nrp2,Acta2,Tpm2,Foxp2,Sparcl1,Actg2,Tagln,Crispld2,Psd,Tnc,Myh11,Gfra1,Mylk,Hhip,Ckb,Cnn1,Dmpk,Aldh1a1,Pde5a,Anxa6,Col1a1,Igfbp4,Kctd12,Mfap4,Dlk1,Tmtc2,Ptn,Basp1,Ptprs,Col3a1,Meis2,Auts2,Lrig3,Meis1,Hist1h2ap,Hist1h1b,Hist1h1a,Hist1h2ae,Sh3bgrl,H1fx,Lsp1,Pcdh18,Emilin1,Col1a2,Col6a2,Foxf1,Foxf2,Pgm5,Nkx6-1,Osr1,Gpc3,Gucy1a1,Zfp703,Ltbp4,Cacng7,Bnc2,Col6a1,Fbln1,Iqgap2,Itm2a,Ptk7,Islr,Cd63,Vcan,Robo1,Slitrk6,Col5a1,Dab2,Cdh11,Hic1,Lrp1,H2afy2,Efemp1,Sema3a,Arap1,Tcf21,Dcn,Igf1,Ptch1,Igfbp7,Col6a5,Thbs4,Lox,Pkdcc,Nr2f2,Penk,Snai2
Col1a1,3832.9846,3826.5586,3841.4043,3798.821,3752.1216,3857.0347,3812.9143,3797.5972,3789.7017,3855.3704,3699.757,3772.8467,3791.8857,3700.8213,3732.0325,3742.0535,3784.2825,3778.4443,3701.2905,3716.6135,3806.0652,3791.97,3768.2322,3695.8652,3557.8867,3722.7832,3752.392,3644.8706,3691.5713,3685.3125,3646.7524,3890.4702,3862.6187,0.0,3882.7373,3869.3584,3970.139,3954.6104,3899.766,3898.1025,3856.8923,3852.3171,3925.454,3947.5793,3796.117,3920.8838,3830.5635,3861.018,3864.198,3846.405,3922.2224,3907.0146,3815.9736,3901.9011,3959.8096,3912.0786,3956.4705,3983.663,3912.6597,3862.5996,3922.4727,3974.7173,4032.3513,3968.4329,3921.091,3910.649,3980.8125,3918.8176,3931.411,3998.6406,3907.6501,3958.0542,3980.8267,3973.2444,3967.1162,3985.9695,3982.8916,3960.682,3907.4014,4004.1082,4025.7131,4014.2903,3996.2485,4020.085,3978.3025,4000.7234,4013.9136,4051.6448,4073.595,4106.39,4129.6816,4038.2812,4109.3906,4135.2104,4098.1665,4176.13,4092.0813,4060.0085,4241.2227,4148.6396
Igfbp4,3827.742,3968.67,3952.9932,3851.0676,3924.4526,3863.2393,3780.0984,3815.9565,3729.9578,3893.3037,4037.5032,3717.828,4017.4348,3846.746,3777.7349,3796.6172,3901.1006,3849.8945,3721.648,3703.5537,3595.4775,3832.2485,3764.6792,3667.3804,3809.0352,3746.6445,3492.8005,3780.9768,3696.5051,3634.2,3764.7688,3962.7432,3899.099,3882.7373,0.0,4039.0615,3955.894,4187.712,4004.6985,3985.1196,4022.5642,3976.3364,3862.8284,3837.7756,4058.2725,3694.6897,3953.4478,3942.436,3875.555,3911.8064,3968.0615,3945.048,4030.4607,4054.2046,3986.065,4142.1655,3920.5242,3849.417,3926.1436,4034.3271,3901.117,3969.5146,3992.2192,4002.608,4079.3313,3966.9592,3915.887,3948.576,3902.6943,3954.9504,4071.6267,4105.588,4076.2769,4070.9497,3925.9292,4023.138,4025.1113,3888.8076,3829.2324,4095.3674,3812.5576,3968.511,4171.5093,4063.4817,3916.4417,4212.057,3860.7837,4084.3203,4018.711,3982.7817,3975.8127,3951.235,4095.9543,4084.3782,4133.2417,4162.3755,4038.7017,4184.595,4037.8965,4074.4626
Kctd12,3941.4954,3804.1235,4046.8855,3645.226,4205.6597,3915.6165,3790.5312,3892.4885,3753.6829,3650.1697,4224.7476,3800.7092,4478.562,4361.799,3845.9841,3824.003,3945.4333,3786.684,3836.2576,3865.7607,3634.4358,3629.958,4047.9397,3859.3916,4047.5886,3757.0999,3823.3674,3730.228,3699.0715,3293.572,3299.4077,3978.4255,3898.4421,3869.3584,4039.0615,0.0,4150.608,4272.828,4176.8384,4295.7554,4182.123,3810.8125,3885.9624,4032.3452,4187.266,3780.7727,4212.325,4019.7073,4085.194,4035.6694,3845.9404,4100.713,3898.1265,3944.788,4131.448,4058.8726,3878.544,3939.7493,3687.85,3665.811,3854.2878,3828.1506,3800.9644,3943.2217,4258.166,4002.2876,3641.4812,3998.6262,3928.2488,3923.894,4060.5874,4089.8865,4068.7,3970.9248,4072.4924,3956.9749,4063.9932,3971.6062,3983.2966,3964.1765,4263.0405,3972.0293,4302.1577,3965.0027,4150.041,4455.3975,3612.588,3907.3452,4021.2468,3966.6594,4046.3757,3780.579,4154.844,3787.6953,4048.5193,3790.9548,3758.572,4034.2854,3472.5051,3976.1768
Mfap4,3849.7056,3927.6294,3993.148,3764.6912,4017.356,3889.1387,3761.568,3760.2808,3783.1184,3774.092,3787.6003,3807.4673,4042.5322,3785.2402,3656.3618,3600.6523,3842.3396,3714.9934,3550.4463,3591.936,3599.827,3640.1304,3654.2217,3454.5825,3631.1082,3602.1611,3262.7869,3611.0703,3442.0544,3474.8018,3527.0378,4237.7197,3907.6155,3970.139,3955.894,4150.608,0.0,4460.93,4294.6406,3949.5225,3833.3542,4076.0696,4022.8618,4249.1255,4081.9204,3828.748,3984.921,3940.258,4004.6807,3852.6433,4417.658,4278.1597,3905.1885,4057.332,4315.0986,4298.4604,4096.4146,4303.7754,3997.4614,4308.4775,4276.4155,4236.3857,4185.142,4163.5327,4150.8286,4140.5244,3940.5803,3928.311,4429.0728,4183.2085,4102.104,4161.166,4201.968,4292.8745,4346.975,4323.012,4005.065,4146.386,4163.8193,4290.9473,4286.8696,4222.089,4238.2544,4211.894,4207.809,4217.174,4203.353,4540.4126,4483.5737,4261.439,4327.8164,4284.849,4453.371,4274.9775,4586.604,4684.912,4420.332,4439.4863,4429.609,4549.799
Dlk1,3810.7195,3992.2588,4070.7234,3621.1558,3966.944,3748.7834,3798.9387,3823.615,3875.2554,3794.0098,4210.5156,3869.5784,4412.8115,4418.1987,3997.4346,3890.2898,4053.203,3852.9011,3894.9712,4015.167,3969.693,3980.3115,4256.108,3993.108,3772.6248,3915.4333,3718.962,3755.584,3881.0537,3828.9,3864.9988,3842.3154,3773.8083,3954.6104,4187.712,4272.828,4460.93,0.0,4375.1743,4395.484,3897.4924,4004.8267,3919.7861,3976.643,4091.501,3842.261,3897.2808,3775.283,3660.1433,3967.1062,3789.2,3882.1099,3998.7544,4003.184,4112.747,3957.973,4011.5894,4108.8423,3709.6206,3748.932,4085.9995,3785.5383,4158.76,3937.8887,4205.6772,3905.2917,4197.4385,3604.5918,3984.198,4007.7837,4169.6934,4153.5234,4144.071,4025.2964,4092.5447,3827.9412,3947.866,3726.7383,3755.7393,3991.9526,4041.9497,3928.2212,4099.567,3791.5955,3791.5247,3996.116,3574.3845,3828.2632,3754.8394,3975.5508,3791.4304,3400.8079,3912.7642,3918.331,3619.602,3986.123,3495.8892,3661.9124,3170.9963,3380.4836
Tmtc2,3982.816,4040.597,4217.4224,3812.993,3927.912,4201.734,4000.1685,3958.5535,4096.733,3816.8303,3899.091,4037.6663,4449.2793,4520.347,3921.1587,3882.9856,4041.2468,3751.3865,3909.968,3897.128,4124.8755,3904.1172,4110.4033,3975.283,3836.175,3844.5217,3723.684,4211.7466,3981.149,3792.3418,3824.1252,4260.641,3996.4746,3899.766,4004.6985,4176.8384,4294.6406,4375.1743,0.0,4341.705,4334.5024,4055.0461,3862.3223,4337.67,4177.5464,4026.5352,4203.829,3982.6902,4025.75,3855.256,3813.0752,3926.3074,3844.9143,3896.9482,4127.051,4075.1646,3900.9568,3956.5127,3866.3625,3572.1873,4348.1914,3930.4321,4173.294,3954.3188,3995.4019,4001.375,3914.0806,4195.791,4061.0103,4006.1135,3953.335,4320.369,4016.5222,4127.89,4280.9834,4252.1133,3869.7786,3839.8782,3933.9045,4133.6953,3956.0173,3993.2275,4179.9824,3957.846,3962.6638,4072.2766,4007.0435,4334.426,3867.1997,3777.582,4613.0635,3696.4856,3810.208,3842.8184,3919.2292,3922.268,3568.8083,3713.0432,3556.6958,3851.8433
Ptn,3956.7507,4076.7773,4142.4253,3706.373,4223.3716,4031.933,3855.3071,3935.2925,3979.2878,3838.3586,4189.947,4118.401,4292.2104,4240.473,3944.0273,3874.4243,4130.467,3877.8418,3971.638,4006.5051,4044.0786,4242.54,4334.5425,3968.9944,4082.0264,3958.7605,3825.6572,4029.6216,4143.709,3735.734,3583.73,3955.8782,3944.4229,3898.1025,3985.1196,4295.7554,3949.5225,4395.484,4341.705,0.0,4059.7131,3945.4734,3882.376,3979.8257,4100.107,3681.973,4121.4956,3913.175,4136.2754,3985.5254,3993.5435,4085.2751,3878.8867,3976.0703,3992.8464,4065.8809,3919.4197,3981.6982,4003.3574,3632.5454,4140.297,4026.0073,4125.597,3931.7656,4072.3687,4181.444,3741.7637,4171.0825,4004.0198,4055.1414,4080.1624,4229.13,4078.3677,3958.5852,4199.4194,3944.996,4014.3083,3905.0251,4006.173,4123.8735,3901.5483,3977.767,3977.0454,4006.6194,3965.4148,4236.605,3636.0251,4142.1616,3905.5713,3917.838,3915.5715,3567.8647,3801.0876,3863.2012,3610.551,3839.7695,3921.8398,3735.0273,3469.6826,3625.6663
Basp1,4060.2358,3818.3318,3943.94,3836.3555,3917.7388,4063.4644,3857.5625,3846.7217,3853.9485,3642.3743,4125.0913,4041.4944,3877.0884,3706.5308,3788.1301,3875.4563,3940.1326,3882.3948,3761.4827,3780.3328,4015.9744,3749.822,3755.6958,3790.1626,3587.6726,3874.1377,4094.5957,3939.1655,3930.4414,3405.5051,3572.2056,4124.798,4071.1426,3856.8923,4022.5642,4182.123,3833.3542,3897.4924,4334.5024,4059.7131,0.0,4182.7803,3847.0999,3825.8787,3938.5288,4140.8174,3560.956,4067.6692,4011.6304,4066.501,4104.2334,4065.903,3926.6719,3777.2085,3981.1018,3826.8801,3873.1338,3961.789,3872.5298,3869.315,3833.0598,3900.8567,4136.418,3979.15,4167.72,3840.1309,3861.8499,4357.718,4327.483,3880.2524,4160.4263,4149.605,3989.495,3880.6047,4160.215,3973.3972,3822.7656,4237.418,4321.37,4180.1704,4280.9116,4042.009,4250.007,3954.3538,4046.2424,4030.7952,3984.4438,4074.4514,4113.664,3941.7979,4073.3154,4005.1418,4509.461,4144.2305,4108.494,4239.6875,3955.787,4118.7793,4106.704,4218.236
Ptprs,3949.7703,3972.8467,3999.7446,4148.6597,4023.8845,3927.7427,3896.8716,3880.9597,3881.2693,4131.325,3871.4949,4067.528,4049.511,4221.8994,3860.495,3886.091,4143.5063,3910.2722,3805.4822,3844.5144,3909.5154,4016.364,4054.3718,3892.7534,3901.516,3919.3584,3966.5886,3991.4216,4043.425,3922.442,4177.2363,3997.04,3846.7202,3852.3171,3976.3364,3810.8125,4076.0696,4004.8267,4055.0461,3945.4734,4182.7803,0.0,3857.481,4099.499,4025.497,4167.84,4024.204,3865.796,3934.0208,3908.404,4054.9287,3974.8472,4127.0005,4055.4844,4104.202,3909.2488,3884.627,3970.3303,3954.6084,4231.5083,4069.7407,3940.7383,3989.6592,4016.4912,4067.1255,3973.247,4054.3271,4234.62,3930.2732,4061.5366,4023.3792,3984.9192,3999.3635,4090.1306,4231.6294,4088.6606,4053.123,4051.0154,3967.6628,4021.0532,4049.9229,3975.8271,3958.9783,3975.5195,3887.4194,4040.0908,4125.532,4043.6,4164.9307,3977.5818,3898.93,4048.3616,4133.3843,4169.457,4050.3528,3915.9426,3994.293,4198.944,4056.011,3913.2698
Col3a1,3815.6296,3826.5615,3770.9045,3703.8206,3694.28,3798.852,3781.0142,3732.9805,3735.0508,3837.964,3618.4287,3680.2283,3728.5342,3644.825,3659.109,3684.4644,3730.4973,3767.4414,3617.9258,3602.907,3657.0703,3624.3691,3585.969,3596.0256,3443.0542,3628.531,3782.9192,3561.8853,3587.8608,3603.7283,3670.435,3908.795,3848.322,3925.454,3862.8284,3885.9624,4022.8618,3919.7861,3862.3223,3882.376,3847.0999,3857.481,0.0,3976.9421,3790.8801,3912.5078,3784.737,3891.6414,3885.629,3885.3755,3935.6934,3912.7148,3846.9797,3875.0369,4007.8079,3893.726,3989.0696,3990.7256,3967.698,3938.9482,3937.6748,3955.42,4020.4146,3992.083,3997.7168,3951.991,3995.8186,3956.7632,3945.4607,4023.9653,3959.7554,4005.5305,4057.116,4023.3806,4025.691,4057.529,4004.3472,4032.8093,3969.365,4072.6416,4073.0784,4081.3684,4087.5413,4088.4219,4026.8943,4075.8953,4114.3853,4134.118,4167.5957,4245.7563,4199.47,4167.6963,4231.433,4277.796,4234.704,4304.213,4208.8945,4176.9087,4415.0513,4317.8184
Meis2,3934.1396,4007.7742,3871.433,4068.7766,3772.8855,4171.348,4056.1392,3987.2915,4063.1265,4236.6543,3705.333,4124.829,3832.4148,4256.965,3778.423,3875.605,4070.3147,4253.2056,3762.0544,3775.74,4004.7512,3998.6567,3785.8071,3721.1228,3895.238,3902.2441,4043.0864,3685.3994,3938.9019,4084.7646,4406.1216,4186.8525,4066.9675,3947.5793,3837.7756,4032.3452,4249.1255,3976.643,4337.67,3979.8257,3825.8787,4099.499,3976.9421,0.0,4455.455,4393.1465,4169.2417,4082.504,4062.3423,4150.5234,4432.5454,4324.454,4075.6628,4147.2515,4373.385,4199.7056,4007.2615,4086.3594,4245.3115,4167.102,4135.512,4081.0588,4559.9404,4081.9304,4104.978,3985.8318,4264.744,4563.022,3959.362,4252.8623,4200.3677,4317.478,4152.2686,4364.3013,4115.807,4237.0713,4423.101,4087.555,4181.699,4289.975,4591.0894,4322.141,4222.6724,4275.543,4319.6797,4271.943,4381.3647,4365.45,4443.1396,4383.623,4440.363,4698.354,4173.8623,4469.8647,4460.871,4422.887,4712.458,4512.624,4981.8804,4618.1562
Auts2,3882.1638,3932.1885,4018.4714,3742.6313,4345.127,4013.8733,3963.139,3850.3044,3698.5474,4070.1802,3890.9436,4124.159,4217.1606,4246.537,3881.455,3795.7803,3591.7551,4072.589,3857.388,3874.442,3625.7993,4066.3145,4144.333,3875.0571,4215.117,3852.506,4337.979,4112.38,3773.9773,3925.9102,3479.3938,4092.85,3899.8108,3796.117,4058.2725,4187.266,4081.9204,4091.501,4177.5464,4100.107,3938.5288,4025.497,3790.8801,4455.455,0.0,4155.165,4417.181,4030.3728,4202.9946,4226.366,4405.624,3923.1584,3845.3335,4014.7512,4168.6685,4059.6814,3797.775,3792.8967,4014.6016,3812.6367,3945.4314,3688.3252,4313.931,3993.1978,3766.337,3737.8865,3941.9048,3661.2822,3752.572,3913.0059,4016.4727,4012.9,3816.8037,3812.8757,3938.3555,3846.5518,3910.331,3746.0464,3865.9937,3982.704,4161.1064,3719.8103,4110.9375,3908.404,3875.533,3864.512,3713.1125,3712.637,4014.7754,3836.39,3950.4614,3773.9114,3787.6294,4349.106,3900.8074,3791.4207,3750.1743,3929.0107,3807.0542,3846.85
Lrig3,3817.3008,3816.3523,4022.1914,4222.4204,4013.7246,3984.7427,4087.0664,3821.489,4095.3477,4475.2964,3909.2573,4370.8057,4361.875,3655.823,3729.656,3850.4,4157.318,4261.085,3790.8394,3826.318,4345.3286,4349.6455,4033.6707,3757.861,3493.2231,3873.5867,3661.1768,3889.1846,3911.7441,4227.6543,3975.7622,4196.8867,4039.4243,3920.8838,3694.6897,3780.7727,3828.748,3842.261,4026.5352,3681.973,4140.8174,4167.84,3912.5078,4393.1465,4155.165,0.0,4363.326,4025.5166,3974.4133,3932.8105,3836.363,3950.0916,4031.9712,3838.6028,4166.616,4211.5186,3910.3816,4030.8252,4438.6084,4036.4436,4069.4695,4256.218,4155.576,4003.1782,3887.6533,4144.4756,4192.0513,4318.2363,4072.7612,4074.2756,4073.6472,4187.073,3837.7449,4008.1382,4433.383,4219.609,4180.5205,4051.4927,4045.4211,3861.3086,3847.0693,4457.1816,3935.6218,4305.4575,4093.5872,4267.3467,4574.499,4246.253,4011.7417,4046.9846,4012.8508,4694.589,4161.6543,4172.2227,4335.8564,4312.8364,4403.238,4288.758,4271.7866,4535.026
Meis1,3894.9792,3967.4148,4052.9622,3941.246,4315.8936,3989.6843,3904.9185,4038.7825,4297.75,4278.7793,4216.5845,4066.2515,3640.8647,4389.512,4025.3823,4009.4387,4060.8875,4032.2302,4029.146,4055.6697,4222.571,4466.115,4085.441,4180.078,4231.2017,3983.838,4084.641,4039.332,4174.161,4296.3613,4128.276,4077.8188,3755.8333,3830.5635,3953.4478,4212.325,3984.921,3897.2808,4203.829,4121.4956,3560.956,4024.204,3784.737,4169.2417,4417.181,4363.326,0.0,3940.6094,4020.0747,3997.609,3433.377,4270.7246,4096.602,4012.607,4214.586,4010.8503,3841.7356,3805.4795,3941.6914,3741.4614,4314.5034,4189.74,4094.775,3847.4373,3785.16,3912.359,4129.291,4012.3306,3813.7603,3799.8967,3815.7095,4133.2227,3863.6177,3874.5203,3899.2432,3839.028,3803.6116,3868.1401,3765.9995,3876.619,3881.261,3803.2195,3913.2927,3940.1694,3929.3447,3759.411,3955.5376,3923.6606,3969.1123,3758.871,3351.6443,3933.8772,3846.176,3495.578,3806.7925,3774.979,3745.2842,3437.5122,3496.415,3919.7983
Hist1h2ap,3850.427,3949.9902,3732.8406,4164.3555,3927.809,3804.8948,3789.972,3764.0247,3748.0476,3816.5068,3807.6907,3840.3875,3534.9116,3969.5967,3661.4187,3740.358,3834.705,3967.4482,3630.2966,3614.1753,3406.2427,3561.898,3476.606,3596.4402,3878.4229,3614.0603,3549.7944,3713.8364,3624.9111,3413.8613,3803.647,3925.5051,3881.893,3861.018,3942.436,4019.7073,3940.258,3775.283,3982.6902,3913.175,4067.6692,3865.796,3891.6414,4082.504,4030.3728,4025.5166,3940.6094,0.0,4874.7544,4962.091,5019.782,4121.0444,4144.5547,3879.325,3937.992,3832.911,3886.2212,3777.3975,4026.5144,3910.916,3941.713,4085.8083,4080.188,3961.8428,3892.6094,4004.25,3810.819,4017.187,3740.5376,4020.1929,4018.8364,3980.1284,3897.0183,3989.748,3922.8826,4027.063,4096.2046,3994.0247,4299.0566,4048.7144,3929.4363,4090.2498,4075.6404,4012.5317,4117.2407,4190.4976,4196.8384,3973.1724,4248.7124,4139.3823,3929.1099,4108.199,4257.414,3967.3777,4232.795,4047.0322,4234.8926,4202.8223,4303.7256,4424.631
Hist1h1b,3877.8245,4060.2705,3726.6304,4099.9575,3834.359,3752.272,3794.5854,3727.4731,3847.0564,3627.673,3807.8325,4025.983,4122.8604,3713.627,3591.604,3643.9192,3780.3848,3891.2312,3592.128,3574.4648,4008.5225,3563.7754,3432.1929,3540.332,3691.1829,3580.6443,4096.074,3965.3523,3625.6797,3295.1401,3913.6235,4060.985,3811.4902,3864.198,3875.555,4085.194,4004.6807,3660.1433,4025.75,4136.2754,4011.6304,3934.0208,3885.629,4062.3423,4202.9946,3974.4133,4020.0747,4874.7544,0.0,5065.952,5168.427,4115.9995,4286.778,3900.1816,3999.6313,3871.87,3889.168,3868.1108,3969.1362,3854.4243,4069.6846,3942.5835,4049.8857,3993.0864,4033.2866,3912.3887,4135.8345,4212.1113,3446.9954,3956.8784,4345.937,4104.2705,4028.0793,4020.4397,4198.483,4187.903,4105.581,4247.9995,4193.4824,4105.4194,4001.5168,4009.847,4068.6584,4169.0537,4248.9307,4267.955,4157.7783,4223.664,4350.7607,4120.8984,4022.9475,4212.4067,4293.0664,4158.0205,4319.5864,4278.3506,4264.078,4281.105,4360.154,4313.8945
Hist1h1a,3800.731,4031.164,3744.9092,4192.093,4091.2427,3822.8923,3738.996,3662.2305,3613.9495,4001.9797,3680.035,3897.005,3663.9678,4039.3726,3576.7922,3645.8716,3629.0393,3889.4573,3472.5967,3484.1538,3365.1714,3668.377,3457.201,3370.9834,3824.611,3538.9006,3646.7773,3530.964,3367.6956,3289.6504,3566.7246,3871.2405,3970.3164,3846.405,3911.8064,4035.6694,3852.6433,3967.1062,3855.256,3985.5254,4066.501,3908.404,3885.3755,4150.5234,4226.366,3932.8105,3997.609,4962.091,5065.952,0.0,5410.1753,4355.507,4145.8687,4180.6025,4153.7446,4098.639,3944.0596,4042.2107,4013.6187,3774.3318,4144.5913,4146.612,4207.441,4060.9233,4018.4211,4234.9824,3947.1267,4021.0955,3896.6843,3877.0117,4107.384,4556.104,4071.573,4171.586,3957.329,4419.9478,4114.953,4165.9834,4476.396,4040.1553,4202.856,4272.3745,4134.6987,4103.9175,4274.306,4449.225,4234.543,4396.4756,4345.69,4364.5127,4139.9375,4348.3467,4575.294,4301.2837,4334.278,4261.251,4137.3228,4370.3066,4825.186,4308.6865
Hist1h2ae,3924.6978,4114.528,3758.772,4023.6938,3803.5857,3823.1099,3689.9895,3607.0657,3581.4075,3569.3677,3784.5752,3698.3066,3600.817,3462.729,3459.8198,3484.466,3662.6956,3490.0781,3415.4373,3293.617,3257.696,3337.287,3240.0217,3163.3384,3629.5613,3201.8774,3636.1868,3255.055,3096.4934,3133.6729,3375.587,3820.8752,3829.315,3922.2224,3968.0615,3845.9404,4417.658,3789.2,3813.0752,3993.5435,4104.2334,4054.9287,3935.6934,4432.5454,4405.624,3836.363,3433.377,5019.782,5168.427,5410.1753,0.0,4354.655,4314.8394,4146.813,4263.8545,4041.7522,3966.1157,3839.5498,3941.0564,4074.9075,3965.4739,4244.775,4422.075,4226.872,4276.05,4486.851,4227.637,4285.2134,3766.1926,3938.879,4228.4854,4441.0596,4159.7065,4044.631,4314.522,4171.707,4184.59,4500.3047,4193.742,4049.4412,3943.905,4112.1494,4370.1636,4229.4307,4435.3267,4685.066,4225.0923,4323.0874,4946.0474,4550.257,4275.502,4255.2266,4435.843,4910.17,4526.619,4267.4565,4557.926,4258.4053,4894.1104,4633.4727
Sh3bgrl,3988.3252,4067.407,3947.099,4006.4097,4025.2288,3962.5625,3830.1006,3875.9958,3830.9214,3913.268,3931.3901,3697.588,3847.8367,3866.2202,3702.9211,3743.7725,4001.9568,3929.0452,3782.0537,3654.6355,3833.432,3892.3662,3835.13,3616.9143,3727.2898,3767.3416,3752.2793,3835.0793,3554.6833,4081.2124,4162.5347,4221.464,4008.8516,3907.0146,3945.048,4100.713,4278.1597,3882.1099,3926.3074,4085.2751,4065.903,3974.8472,3912.7148,4324.454,3923.1584,3950.0916,4270.7246,4121.0444,4115.9995,4355.507,4354.655,0.0,4261.662,4082.927,4193.5527,4162.606,3977.701,4042.4155,4080.3428,4174.8945,4212.665,3631.3357,4126.8145,3984.1055,3998.1794,4166.9683,4139.323,3942.5198,4071.0771,3975.689,3936.518,4051.8882,4141.465,4023.133,4403.208,4284.8086,4132.14,4123.701,4200.55,4145.497,4035.6511,4162.0093,4224.6274,4139.8896,4304.6763,3905.1536,4224.7915,4304.1626,4275.8057,4263.924,4069.668,4284.934,4279.65,4513.0503,4426.395,4094.804,4398.4233,4411.285,4568.8896,4520.0493
H1fx,4049.739,3984.8904,3821.5989,4043.1038,3683.9192,3914.1692,3710.5244,3748.721,3810.2063,3832.6306,3702.3708,3844.4795,3735.4673,3709.7876,3718.634,3654.4243,3711.7134,3971.2788,3626.5786,3665.7085,3936.6755,3842.9966,3714.0903,3618.0098,3772.225,3696.6895,3830.523,3567.6125,3675.7747,3875.9185,3816.0923,4002.865,3891.6816,3815.9736,4030.4607,3898.1265,3905.1885,3998.7544,3844.9143,3878.8867,3926.6719,4127.0005,3846.9797,4075.6628,3845.3335,4031.9712,4096.602,4144.5547,4286.778,4145.8687,4314.8394,4261.662,0.0,3858.2026,3887.4287,3983.6768,3843.5354,3939.9443,3814.0635,3985.066,4193.0137,3575.9832,4064.5757,3935.824,3906.793,3768.0686,3718.7231,4358.017,3606.4333,3849.8628,4077.2717,4023.403,4022.4614,4016.5354,4209.1465,3910.794,3955.6733,4229.266,4187.2617,3990.2065,3810.111,4042.5957,4189.038,4107.4336,4256.8164,4028.8865,3938.8608,4134.954,4280.465,4053.1555,4092.9573,4081.009,3893.8584,4037.5051,3985.7935,4024.412,4057.9124,3949.0405,4108.898,4231.534
Lsp1,3949.9624,3966.0083,3914.5208,3821.734,3854.7756,4000.9146,3938.6104,3971.1633,4100.9033,4110.05,4040.3862,3846.0247,4047.059,3898.8333,3913.0852,3950.7036,3958.2236,4086.2832,3919.7695,3949.9019,3778.5913,4080.1016,4299.537,3875.5752,4104.034,3980.265,4177.254,4050.5232,3957.947,4020.1824,4046.2632,4052.9082,4019.0112,3901.9011,4054.2046,3944.788,4057.332,4003.184,3896.9482,3976.0703,3777.2085,4055.4844,3875.0369,4147.2515,4014.7512,3838.6028,4012.607,3879.325,3900.1816,4180.6025,4146.813,4082.927,3858.2026,0.0,4180.381,4323.587,3906.7441,3991.3564,4125.909,4178.08,4041.584,4297.681,4172.194,4073.8745,3989.2742,4132.753,3991.2744,4048.6484,4123.0903,3962.8794,3968.5688,3979.7231,4057.203,4234.2354,3964.4175,4143.662,4115.5967,3834.146,4035.5532,3989.238,3924.7302,4032.4438,4046.171,4068.4622,3993.4893,4034.3022,4157.299,4164.3853,4147.4116,4046.579,4148.7935,4148.457,4176.7695,4232.541,3863.7246,4171.407,3990.7522,4071.5508,4119.7095,4296.405
Pcdh18,3912.0903,3957.8652,3950.3152,3857.2222,3984.4712,4000.2466,3787.8745,3857.719,3868.8699,4216.594,3685.5967,3843.4736,3840.747,4003.6768,3611.9004,3686.0151,3628.7314,3880.447,3571.4026,3602.0479,3708.7544,3530.3704,3502.705,3560.413,3660.0845,3518.336,3855.3206,3538.982,3349.9363,3558.6675,3622.9902,4086.4768,4057.6611,3959.8096,3986.065,4131.448,4315.0986,4112.747,4127.051,3992.8464,3981.1018,4104.202,4007.8079,4373.385,4168.6685,4166.616,4214.586,3937.992,3999.6313,4153.7446,4263.8545,4193.5527,3887.4287,4180.381,0.0,4480.1484,4037.9343,4146.1475,4080.2163,4042.083,4265.9775,4147.95,4226.838,4074.1719,4245.352,4328.253,4067.0935,4189.348,4235.209,4212.4185,4100.6035,4324.2344,4290.1445,4159.4956,4483.2983,3919.8228,4203.066,4247.039,3940.7817,4146.4316,4139.6123,4183.4917,4224.0923,4075.9094,4025.7441,4216.2285,4134.475,4613.3394,4482.6294,4462.2065,4304.3315,4348.6797,4405.3345,4656.988,4456.405,4440.1123,4528.9043,4575.1436,4491.0625,4764.352
Emilin1,3894.1792,3965.4004,4024.5007,3975.6824,3798.8782,4008.4395,3976.547,4129.428,4127.1997,4020.9229,3632.3398,3943.3188,4146.778,4076.527,3961.0618,3989.0254,3940.9087,4066.2793,3972.808,4019.8608,3602.3372,4124.032,4411.4385,3917.1614,4210.5947,4035.2078,3780.5322,4022.1858,4092.2542,4480.829,3699.0269,4068.0442,3847.211,3912.0786,4142.1655,4058.8726,4298.4604,3957.973,4075.1646,4065.8809,3826.8801,3909.2488,3893.726,4199.7056,4059.6814,4211.5186,4010.8503,3832.911,3871.87,4098.639,4041.7522,4162.606,3983.6768,4323.587,4480.1484,0.0,3879.369,4004.6216,4272.552,3819.6655,3950.6738,4305.6587,3859.667,4127.006,3951.0522,4147.842,4278.8066,4166.4004,4026.4146,4173.6577,3906.0503,4042.1553,4018.8887,3841.385,4149.2974,4219.817,4135.53,4021.5483,3971.4854,4218.908,4070.4214,4090.2917,3983.9531,4177.9917,3986.2058,4296.737,3898.9988,4202.0195,3916.905,3999.3352,4187.4263,4254.032,4230.3354,4337.695,3840.5327,4178.265,4433.787,4178.4663,3944.6917,4263.4985
