cluster,total_cells
0,35105
1,32054
2,29542
3,28669
4,22033
5,21536
6,21074
7,20455
8,19248
9,18836
10,17456
11,14675
12,13941
13,13920
14,12673
15,12215
16,8381
17,7755
18,5944
19,4205
20,3839
21,1931
22,1245
23,1201
24,1038
25,965
26,826
27,789
28,603
29,290
30,284
