0
Igf2
Col3a1
Col1a1
Col1a2
Akap12
Cald1
Nrk
Dcn
Bicc1
Axl
Timp2
Thbs2
Mrc2
Itm2a
Ptgis
Capn6
Pmp22
Loxl1
Gas1
Anxa3
Lox
Cpxm1
Creb3l1
Aebp1
Wt1
Cdh11
Tbx18
Sema3d
Stom
Krt19
Rarres2
Sulf1
Dlk1
Fbln2
Aldh1a2
Stk26
Upk3b
Msln
Krt7
Upk1b
Lrrn4
Gpm6a
Myrf
Bnc1
Gucy1a1
Lrp1
