0
Spon2
Tagln2
Rbp1
Ptn
Kctd12
Fbln1
Id3
Timp3
Col5a1
Col6a1
Col6a2
Bgn
Megf6
Tnxb
Hic1
Lsp1
Mmp2
Tcf21
Slc38a5
Fbn1
