sample,source,n_cells,mean_total_counts,mean_n_genes,n_primary,n_secondary
WT_A1,striped,92379,1128.3868408203125,844.0046222626354,90143,2236
WT_A1,destriped,102857,1569.9007356009765,786.0185791924711,99899,2958
WT_D1,striped,115226,1188.340576171875,875.1558068491486,110287,4939
WT_D1,destriped,122181,1625.9617540046575,838.5887985857048,117051,5130
VSNL1_MUT_A1,striped,91497,1092.66650390625,807.6358350547013,89263,2234
VSNL1_MUT_A1,destriped,99747,1539.6826707902799,760.8024903004601,98726,1021
VSNL1_MUT_D1,striped,73626,1179.7122802734375,869.1004264797762,69820,3806
VSNL1_MUT_D1,destriped,77561,1605.6802507830228,834.6244891117959,74269,3292
